,OrderWeek,Segment,City,State,Region,SubCategory,Discount
1179,16,Home Office,Houston,Texas,Central,Accessories,YES
1180,25,Consumer,Lakewood,New Jersey,East,Phones,NO
1181,25,Consumer,Lakewood,New Jersey,East,Art,NO
1182,2,Consumer,Jacksonville,North Carolina,South,Envelopes,YES
1183,2,Consumer,Jacksonville,North Carolina,South,Phones,YES
1184,48,Corporate,Seattle,Washington,West,Binders,YES
1185,48,Corporate,Seattle,Washington,West,Storage,NO
1186,48,Corporate,Seattle,Washington,West,Paper,NO
1187,48,Corporate,Seattle,Washington,West,Storage,NO
1188,8,Home Office,Los Angeles,California,West,Appliances,NO
1189,8,Home Office,Los Angeles,California,West,Phones,YES
1190,8,Home Office,Los Angeles,California,West,Chairs,YES
1191,8,Home Office,Los Angeles,California,West,Paper,NO
1192,8,Home Office,Los Angeles,California,West,Paper,NO
1193,38,Corporate,Coral Springs,Florida,South,Paper,YES
1194,38,Corporate,Coral Springs,Florida,South,Furnishings,YES
1195,38,Corporate,Coral Springs,Florida,South,Storage,YES
1196,38,Corporate,Coral Springs,Florida,South,Furnishings,YES
1197,14,Consumer,Houston,Texas,Central,Accessories,YES
1198,14,Consumer,Houston,Texas,Central,Chairs,YES
1200,29,Corporate,Denver,Colorado,West,Chairs,YES
1202,29,Corporate,Denver,Colorado,West,Chairs,YES
1203,29,Corporate,Denver,Colorado,West,Storage,YES
1204,29,Corporate,Denver,Colorado,West,Storage,YES
1205,31,Consumer,Charlotte,North Carolina,South,Phones,YES
1206,28,Corporate,New York City,New York,East,Storage,NO
1207,28,Corporate,New York City,New York,East,Binders,YES
1208,28,Corporate,New York City,New York,East,Fasteners,NO
1209,28,Corporate,New York City,New York,East,Art,NO
1210,28,Corporate,New York City,New York,East,Binders,YES
1211,28,Corporate,New York City,New York,East,Bookcases,YES
1212,36,Corporate,Philadelphia,Pennsylvania,East,Chairs,YES
1215,36,Corporate,Philadelphia,Pennsylvania,East,Art,YES
1216,36,Corporate,Philadelphia,Pennsylvania,East,Accessories,YES
1217,36,Corporate,Philadelphia,Pennsylvania,East,Furnishings,YES
1218,36,Corporate,Philadelphia,Pennsylvania,East,Accessories,YES
1219,36,Corporate,Philadelphia,Pennsylvania,East,Phones,YES
1220,28,Home Office,Los Angeles,California,West,Storage,NO
1221,28,Home Office,Los Angeles,California,West,Phones,YES
1222,48,Consumer,New York City,New York,East,Furnishings,NO
1223,48,Consumer,New York City,New York,East,Accessories,NO
1224,48,Consumer,New York City,New York,East,Binders,YES
1225,48,Consumer,New York City,New York,East,Paper,NO
1226,48,Consumer,New York City,New York,East,Storage,NO
1227,48,Consumer,New York City,New York,East,Storage,NO
1228,45,Consumer,Los Angeles,California,West,Envelopes,NO
1229,45,Consumer,Los Angeles,California,West,Furnishings,NO
1230,45,Consumer,Los Angeles,California,West,Art,NO
1231,44,Consumer,Buffalo,New York,East,Art,NO
1232,44,Consumer,Buffalo,New York,East,Envelopes,NO
1233,22,Corporate,Cincinnati,Ohio,East,Copiers,YES
1234,43,Consumer,Boynton Beach,Florida,South,Furnishings,YES
1236,43,Consumer,Boynton Beach,Florida,South,Furnishings,YES
1237,43,Consumer,Boynton Beach,Florida,South,Furnishings,YES
1238,33,Consumer,Seattle,Washington,West,Furnishings,NO
1239,33,Consumer,Seattle,Washington,West,Art,NO
1240,33,Consumer,Seattle,Washington,West,Fasteners,NO
1241,35,Home Office,New York City,New York,East,Phones,NO
1242,7,Consumer,New York City,New York,East,Binders,YES
1243,7,Consumer,New York City,New York,East,Fasteners,NO
1244,19,Consumer,Gulfport,Mississippi,South,Envelopes,NO
1245,50,Consumer,Fresno,California,West,Tables,YES
1247,50,Consumer,Fresno,California,West,Bookcases,YES
1248,51,Consumer,New York City,New York,East,Art,NO
1249,51,Consumer,New York City,New York,East,Chairs,YES
1251,51,Consumer,New York City,New York,East,Art,NO
1252,27,Consumer,Milwaukee,Wisconsin,Central,Phones,NO
1253,10,Home Office,Chester,Pennsylvania,East,Art,YES
1254,10,Home Office,Chester,Pennsylvania,East,Phones,YES
1255,10,Home Office,Chester,Pennsylvania,East,Furnishings,YES
1256,10,Home Office,Chester,Pennsylvania,East,Furnishings,YES
1258,51,Home Office,Charlotte,North Carolina,South,Storage,YES
1259,51,Home Office,Charlotte,North Carolina,South,Accessories,YES
1260,43,Consumer,Jacksonville,Florida,South,Phones,YES
1262,27,Consumer,Long Beach,New York,East,Binders,YES
1263,39,Consumer,La Porte,Indiana,Central,Phones,NO
1264,39,Consumer,La Porte,Indiana,Central,Furnishings,NO
1265,35,Consumer,San Francisco,California,West,Art,NO
1266,52,Corporate,Los Angeles,California,West,Storage,NO
1267,52,Corporate,Los Angeles,California,West,Chairs,YES
1268,38,Corporate,Louisville,Colorado,West,Furnishings,YES
1269,22,Consumer,Florence,Alabama,South,Paper,NO
1270,16,Corporate,Chicago,Illinois,Central,Storage,YES
1273,21,Consumer,Fort Worth,Texas,Central,Paper,YES
1274,21,Consumer,Fort Worth,Texas,Central,Chairs,YES
1275,21,Consumer,Fort Worth,Texas,Central,Paper,YES
1276,21,Consumer,Fort Worth,Texas,Central,Accessories,YES
1277,18,Consumer,Houston,Texas,Central,Art,YES
1278,37,Corporate,Macon,Georgia,South,Accessories,NO
1279,37,Corporate,Macon,Georgia,South,Accessories,NO
1280,36,Consumer,Cedar Rapids,Iowa,Central,Phones,NO
1281,14,Consumer,Jacksonville,Florida,South,Labels,YES
1283,14,Consumer,Jacksonville,Florida,South,Paper,YES
1285,25,Consumer,Providence,Rhode Island,East,Storage,NO
1286,27,Home Office,New York City,New York,East,Art,NO
1287,47,Corporate,New York City,New York,East,Furnishings,NO
1288,47,Corporate,New York City,New York,East,Binders,YES
1289,47,Corporate,New York City,New York,East,Art,NO
1290,45,Home Office,San Francisco,California,West,Binders,YES
1291,45,Home Office,San Francisco,California,West,Paper,NO
1292,35,Consumer,San Diego,California,West,Supplies,NO
1293,35,Consumer,San Diego,California,West,Paper,NO
1294,35,Consumer,San Diego,California,West,Labels,NO
1296,52,Corporate,Fairfield,California,West,Binders,YES
1297,52,Corporate,Fairfield,California,West,Binders,YES
1298,49,Corporate,Saint Paul,Minnesota,Central,Phones,NO
1299,40,Consumer,San Francisco,California,West,Storage,NO
1301,51,Consumer,Springfield,Virginia,South,Furnishings,NO
1302,38,Home Office,Arlington,Virginia,South,Bookcases,NO
1303,27,Consumer,Columbus,Georgia,South,Furnishings,NO
1304,27,Consumer,Columbus,Georgia,South,Phones,NO
1305,28,Consumer,Houston,Texas,Central,Phones,YES
1306,25,Consumer,Pasadena,California,West,Paper,NO
1307,25,Consumer,Pasadena,California,West,Binders,YES
1308,25,Consumer,Pasadena,California,West,Appliances,NO
1309,25,Consumer,Pasadena,California,West,Storage,NO
1310,25,Consumer,Pasadena,California,West,Chairs,YES
1311,49,Consumer,Lawrence,Massachusetts,East,Labels,NO
1312,49,Consumer,Lawrence,Massachusetts,East,Labels,NO
1313,38,Consumer,Columbus,Ohio,East,Chairs,YES
1314,50,Corporate,Los Angeles,California,West,Paper,NO
1315,50,Corporate,Los Angeles,California,West,Furnishings,NO
1316,50,Corporate,Los Angeles,California,West,Supplies,NO
1317,49,Consumer,Philadelphia,Pennsylvania,East,Accessories,YES
1318,27,Corporate,Deltona,Florida,South,Phones,YES
1321,5,Consumer,Cincinnati,Ohio,East,Storage,YES
1322,9,Consumer,Murray,Kentucky,South,Appliances,NO
1323,41,Consumer,Wilmington,North Carolina,South,Paper,YES
1324,39,Corporate,Lawrence,Massachusetts,East,Storage,NO
1326,24,Home Office,Philadelphia,Pennsylvania,East,Furnishings,YES
1327,13,Corporate,Norwich,Connecticut,East,Paper,NO
1328,41,Home Office,San Francisco,California,West,Art,NO
1329,21,Consumer,San Francisco,California,West,Furnishings,NO
1330,22,Home Office,Lorain,Ohio,East,Phones,YES
1331,22,Home Office,Lorain,Ohio,East,Storage,YES
1334,19,Home Office,Los Angeles,California,West,Binders,YES
1335,20,Consumer,Middletown,Connecticut,East,Storage,NO
1336,13,Consumer,Los Angeles,California,West,Furnishings,NO
1337,13,Consumer,New York City,New York,East,Furnishings,NO
1338,13,Consumer,New York City,New York,East,Phones,NO
1339,13,Consumer,New York City,New York,East,Paper,NO
1340,1,Corporate,Jacksonville,North Carolina,South,Machines,YES
1343,22,Consumer,Freeport,New York,East,Art,NO
1344,22,Consumer,Freeport,New York,East,Labels,NO
1345,12,Consumer,Lakeville,Minnesota,Central,Appliances,NO
1346,12,Consumer,Lakeville,Minnesota,Central,Paper,NO
1347,12,Consumer,Lakeville,Minnesota,Central,Art,NO
1349,12,Consumer,Lakeville,Minnesota,Central,Binders,NO
1350,40,Consumer,Evanston,Illinois,Central,Chairs,YES
1351,13,Corporate,Arlington,Virginia,South,Storage,NO
1352,18,Corporate,San Francisco,California,West,Phones,YES
1353,18,Corporate,San Francisco,California,West,Paper,NO
1354,18,Corporate,San Francisco,California,West,Tables,YES
1355,27,Consumer,Houston,Texas,Central,Storage,YES
1357,18,Consumer,Louisville,Kentucky,South,Paper,NO
1359,39,Consumer,Los Angeles,California,West,Chairs,YES
1360,42,Corporate,Philadelphia,Pennsylvania,East,Art,YES
1361,42,Corporate,Philadelphia,Pennsylvania,East,Paper,YES
1362,42,Corporate,Philadelphia,Pennsylvania,East,Phones,YES
1365,45,Corporate,Tucson,Arizona,West,Accessories,YES
1366,45,Corporate,Tucson,Arizona,West,Phones,YES
1367,45,Corporate,Tucson,Arizona,West,Chairs,YES
1368,27,Home Office,Pico Rivera,California,West,Furnishings,NO
1370,52,Consumer,Colorado Springs,Colorado,West,Art,YES
1371,10,Home Office,Clinton,Maryland,East,Accessories,NO
1372,14,Consumer,Vallejo,California,West,Labels,NO
1373,14,Consumer,Vallejo,California,West,Binders,YES
1374,38,Consumer,Provo,Utah,West,Tables,NO
1375,32,Consumer,Pleasant Grove,Utah,West,Appliances,NO
1376,32,Consumer,Pleasant Grove,Utah,West,Paper,NO
1377,32,Consumer,Pleasant Grove,Utah,West,Art,NO
1378,32,Consumer,Pleasant Grove,Utah,West,Phones,YES
1379,32,Consumer,Pleasant Grove,Utah,West,Storage,NO
1380,32,Consumer,Pleasant Grove,Utah,West,Binders,YES
1382,5,Home Office,Smyrna,Georgia,South,Storage,NO
1383,5,Home Office,Smyrna,Georgia,South,Paper,NO
1384,5,Home Office,Smyrna,Georgia,South,Fasteners,NO
1385,5,Home Office,Smyrna,Georgia,South,Furnishings,NO
1386,5,Home Office,Smyrna,Georgia,South,Bookcases,NO
1387,5,Home Office,Smyrna,Georgia,South,Envelopes,NO
1388,5,Home Office,Smyrna,Georgia,South,Phones,NO
1389,5,Home Office,Smyrna,Georgia,South,Phones,NO
1390,5,Home Office,Smyrna,Georgia,South,Paper,NO
1391,5,Home Office,Smyrna,Georgia,South,Storage,NO
1392,5,Home Office,Smyrna,Georgia,South,Paper,NO
1393,27,Corporate,Burlington,North Carolina,South,Art,YES
1394,41,Corporate,Aurora,Illinois,Central,Tables,YES
1395,41,Corporate,Aurora,Illinois,Central,Tables,YES
1396,47,Consumer,New York City,New York,East,Binders,YES
1397,47,Consumer,New York City,New York,East,Paper,NO
1398,47,Consumer,New York City,New York,East,Accessories,NO
1399,47,Consumer,New York City,New York,East,Paper,NO
1400,44,Home Office,Salem,Virginia,South,Phones,NO
1401,44,Home Office,Salem,Virginia,South,Envelopes,NO
1402,16,Home Office,Columbus,Ohio,East,Tables,YES
1403,16,Home Office,Columbus,Ohio,East,Paper,YES
1404,14,Home Office,Philadelphia,Pennsylvania,East,Supplies,YES
1405,14,Home Office,Philadelphia,Pennsylvania,East,Tables,YES
1406,14,Home Office,Philadelphia,Pennsylvania,East,Accessories,YES
1407,35,Consumer,New York City,New York,East,Art,NO
1408,35,Consumer,New York City,New York,East,Furnishings,NO
1409,38,Consumer,Phoenix,Arizona,West,Tables,YES
1410,44,Home Office,Grand Prairie,Texas,Central,Labels,YES
1411,27,Corporate,New York City,New York,East,Chairs,YES
1412,27,Corporate,New York City,New York,East,Furnishings,NO
1413,27,Consumer,New York City,New York,East,Binders,YES
1414,4,Home Office,Costa Mesa,California,West,Accessories,NO
1415,4,Home Office,Costa Mesa,California,West,Furnishings,NO
1416,39,Corporate,Houston,Texas,Central,Phones,YES
1417,39,Corporate,Houston,Texas,Central,Accessories,YES
1419,39,Corporate,Mesa,Arizona,West,Paper,YES
1421,39,Corporate,Mesa,Arizona,West,Appliances,YES
1423,39,Corporate,Mesa,Arizona,West,Storage,YES
1424,39,Corporate,Mesa,Arizona,West,Phones,YES
1425,39,Corporate,Mesa,Arizona,West,Storage,YES
1426,44,Corporate,Salinas,California,West,Binders,YES
1427,44,Corporate,Salinas,California,West,Envelopes,NO
1428,44,Corporate,Salinas,California,West,Binders,YES
1430,47,Consumer,Columbus,Ohio,East,Phones,YES
1431,51,Consumer,Florence,Alabama,South,Binders,NO
1432,51,Consumer,Florence,Alabama,South,Supplies,NO
1434,52,Consumer,Seattle,Washington,West,Paper,NO
1435,25,Consumer,Parma,Ohio,East,Paper,YES
1436,25,Consumer,Parma,Ohio,East,Art,YES
1437,42,Consumer,Amarillo,Texas,Central,Accessories,YES
1438,42,Consumer,Amarillo,Texas,Central,Chairs,YES
1439,15,Consumer,Providence,Rhode Island,East,Binders,NO
1440,15,Consumer,Providence,Rhode Island,East,Paper,NO
1441,51,Consumer,San Francisco,California,West,Binders,YES
1442,31,Corporate,Richmond,Kentucky,South,Paper,NO
1443,40,Corporate,Aurora,Colorado,West,Storage,YES
1444,21,Consumer,Chicago,Illinois,Central,Phones,YES
1445,24,Home Office,Chicago,Illinois,Central,Storage,YES
1446,24,Home Office,Chicago,Illinois,Central,Chairs,YES
1447,24,Home Office,Chicago,Illinois,Central,Phones,YES
1449,18,Corporate,Los Angeles,California,West,Phones,YES
1451,47,Corporate,Mobile,Alabama,South,Paper,NO
1452,47,Corporate,Mobile,Alabama,South,Binders,NO
1453,47,Corporate,Mobile,Alabama,South,Binders,NO
1454,47,Corporate,Mobile,Alabama,South,Machines,NO
1455,24,Home Office,Columbus,Georgia,South,Binders,NO
1456,24,Home Office,Columbus,Georgia,South,Tables,NO
1457,34,Corporate,New Bedford,Massachusetts,East,Binders,NO
1458,38,Corporate,Irving,Texas,Central,Labels,YES
1459,18,Consumer,Middletown,Connecticut,East,Furnishings,NO
1460,49,Consumer,Seattle,Washington,West,Binders,YES
1461,10,Consumer,Vineland,New Jersey,East,Tables,YES
1462,34,Corporate,Pasadena,Texas,Central,Accessories,YES
1463,34,Corporate,Pasadena,Texas,Central,Chairs,YES
1464,50,Corporate,New York City,New York,East,Fasteners,NO
1465,32,Consumer,Glendale,Arizona,West,Furnishings,YES
1466,32,Consumer,Glendale,Arizona,West,Accessories,YES
1467,20,Home Office,Jacksonville,Florida,South,Accessories,YES
1468,49,Corporate,Detroit,Michigan,Central,Chairs,NO
1469,49,Corporate,Detroit,Michigan,Central,Binders,NO
1470,49,Corporate,Detroit,Michigan,Central,Paper,NO
1471,39,Corporate,Philadelphia,Pennsylvania,East,Art,YES
1472,28,Corporate,Los Angeles,California,West,Labels,NO
1474,46,Home Office,Niagara Falls,New York,East,Art,NO
1475,46,Home Office,Niagara Falls,New York,East,Binders,YES
1476,11,Home Office,New York City,New York,East,Labels,NO
1477,45,Consumer,Thomasville,North Carolina,South,Supplies,YES
1478,46,Consumer,Westminster,California,West,Phones,YES
1479,48,Consumer,San Francisco,California,West,Paper,NO
1480,48,Consumer,San Francisco,California,West,Paper,NO
1481,48,Consumer,San Francisco,California,West,Storage,NO
1482,34,Consumer,Jackson,Tennessee,South,Art,YES
1483,34,Consumer,Jackson,Tennessee,South,Paper,YES
1484,41,Corporate,Seattle,Washington,West,Accessories,NO
1485,48,Consumer,New York City,New York,East,Fasteners,NO
1486,45,Home Office,Los Angeles,California,West,Phones,YES
1487,45,Home Office,Los Angeles,California,West,Accessories,NO
1488,45,Home Office,Los Angeles,California,West,Furnishings,NO
1489,48,Consumer,Philadelphia,Pennsylvania,East,Labels,YES
1490,17,Corporate,New York City,New York,East,Envelopes,NO
1491,47,Corporate,New York City,New York,East,Paper,NO
1492,47,Corporate,New York City,New York,East,Chairs,YES
1493,44,Corporate,Vancouver,Washington,West,Furnishings,NO
1494,51,Consumer,Columbus,Georgia,South,Art,NO
1495,36,Consumer,Coppell,Texas,Central,Art,YES
1496,36,Consumer,Coppell,Texas,Central,Storage,YES
1497,36,Consumer,Coppell,Texas,Central,Art,YES
1498,42,Home Office,San Francisco,California,West,Binders,YES
1499,45,Consumer,Austin,Texas,Central,Paper,YES
1500,45,Consumer,Austin,Texas,Central,Paper,YES
1501,45,Consumer,Austin,Texas,Central,Storage,YES
1502,47,Home Office,Los Angeles,California,West,Phones,YES
1503,47,Home Office,Los Angeles,California,West,Furnishings,NO
1504,31,Home Office,Los Angeles,California,West,Art,NO
1505,31,Home Office,Los Angeles,California,West,Tables,YES
1506,51,Consumer,New York City,New York,East,Binders,YES
1507,37,Consumer,Columbus,Georgia,South,Machines,NO
1508,49,Home Office,Omaha,Nebraska,Central,Binders,NO
1509,37,Consumer,Los Angeles,California,West,Furnishings,NO
1510,25,Corporate,Pomona,California,West,Art,NO
1511,25,Corporate,Pomona,California,West,Art,NO
1512,33,Consumer,Dallas,Texas,Central,Storage,YES
1515,50,Consumer,Philadelphia,Pennsylvania,East,Chairs,YES
1516,49,Consumer,North Las Vegas,Nevada,West,Tables,NO
1517,6,Consumer,Seattle,Washington,West,Binders,YES
1518,6,Consumer,Seattle,Washington,West,Binders,YES
1519,6,Corporate,San Francisco,California,West,Binders,YES
1520,15,Home Office,Chicago,Illinois,Central,Art,YES
1521,49,Consumer,Tucson,Arizona,West,Furnishings,YES
1522,49,Consumer,Tucson,Arizona,West,Paper,YES
1523,49,Consumer,Tucson,Arizona,West,Paper,YES
1524,49,Consumer,Tucson,Arizona,West,Storage,YES
1525,49,Consumer,Tucson,Arizona,West,Art,YES
1526,29,Consumer,Allentown,Pennsylvania,East,Art,YES
1527,29,Consumer,Allentown,Pennsylvania,East,Furnishings,YES
1528,45,Corporate,Newark,Delaware,East,Fasteners,NO
1529,45,Corporate,Newark,Delaware,East,Paper,NO
1530,13,Corporate,Miami,Florida,South,Paper,YES
1531,35,Consumer,Tempe,Arizona,West,Storage,YES
1532,35,Consumer,Tempe,Arizona,West,Fasteners,YES
1533,48,Corporate,New York City,New York,East,Storage,NO
1534,6,Home Office,Laguna Niguel,California,West,Bookcases,YES
1535,43,Corporate,Bridgeton,New Jersey,East,Storage,NO
1536,43,Corporate,Bridgeton,New Jersey,East,Appliances,NO
1537,37,Consumer,Everett,Massachusetts,East,Phones,NO
1538,37,Consumer,Everett,Massachusetts,East,Art,NO
1539,37,Consumer,Everett,Massachusetts,East,Bookcases,NO
1540,37,Consumer,Everett,Massachusetts,East,Binders,NO
1541,11,Consumer,Columbus,Ohio,East,Furnishings,YES
1542,11,Consumer,Columbus,Ohio,East,Fasteners,YES
1543,6,Home Office,San Diego,California,West,Binders,YES
1544,6,Home Office,San Diego,California,West,Paper,NO
1545,1,Corporate,Watertown,New York,East,Bookcases,YES
1546,48,Corporate,San Antonio,Texas,Central,Paper,YES
1548,48,Corporate,San Antonio,Texas,Central,Storage,YES
1549,27,Consumer,New York City,New York,East,Copiers,YES
1551,24,Consumer,San Diego,California,West,Paper,NO
1552,18,Home Office,Appleton,Wisconsin,Central,Labels,NO
1553,42,Consumer,Richmond,Kentucky,South,Binders,NO
1554,6,Corporate,Bellevue,Washington,West,Art,NO
1555,36,Consumer,Long Beach,New York,East,Accessories,NO
1556,19,Consumer,Philadelphia,Pennsylvania,East,Envelopes,YES
1557,19,Consumer,Philadelphia,Pennsylvania,East,Art,YES
1558,12,Consumer,Seattle,Washington,West,Tables,NO
1559,14,Corporate,Seattle,Washington,West,Binders,YES
1560,14,Home Office,San Francisco,California,West,Labels,NO
1561,36,Home Office,Seattle,Washington,West,Art,NO
1562,26,Consumer,New York City,New York,East,Tables,YES
1563,46,Consumer,Philadelphia,Pennsylvania,East,Paper,YES
1564,10,Consumer,Columbia,South Carolina,South,Storage,NO
1565,12,Home Office,Seattle,Washington,West,Phones,YES
1566,48,Consumer,Allen,Texas,Central,Accessories,YES
1568,23,Consumer,Los Angeles,California,West,Paper,NO
1569,47,Corporate,Atlanta,Georgia,South,Art,NO
1570,47,Consumer,Los Angeles,California,West,Chairs,YES
1571,47,Consumer,Los Angeles,California,West,Envelopes,NO
1572,47,Consumer,Los Angeles,California,West,Accessories,NO
1573,47,Consumer,Los Angeles,California,West,Chairs,YES
1574,51,Consumer,El Paso,Texas,Central,Phones,YES
1575,51,Consumer,El Paso,Texas,Central,Chairs,YES
1576,16,Home Office,Aurora,Illinois,Central,Storage,YES
1577,21,Home Office,Florence,Alabama,South,Paper,NO
1578,8,Consumer,New York City,New York,East,Appliances,NO
1579,32,Consumer,New York City,New York,East,Phones,NO
1580,32,Consumer,New York City,New York,East,Tables,YES
1581,32,Consumer,New York City,New York,East,Storage,NO
1582,32,Consumer,New York City,New York,East,Binders,YES
1583,32,Consumer,New York City,New York,East,Furnishings,NO
1584,32,Consumer,New York City,New York,East,Furnishings,NO
1585,32,Consumer,New York City,New York,East,Phones,NO
1586,32,Consumer,New York City,New York,East,Paper,NO
1587,32,Consumer,New York City,New York,East,Fasteners,NO
1588,32,Consumer,New York City,New York,East,Accessories,NO
1589,19,Corporate,Virginia Beach,Virginia,South,Art,NO
1590,15,Corporate,Grapevine,Texas,Central,Art,YES
1591,15,Corporate,Grapevine,Texas,Central,Fasteners,YES
1592,26,Consumer,Olympia,Washington,West,Phones,YES
1593,42,Consumer,Los Angeles,California,West,Paper,NO
1594,13,Home Office,Peoria,Illinois,Central,Bookcases,YES
1595,19,Consumer,Columbus,Ohio,East,Chairs,YES
1597,46,Consumer,Carrollton,Texas,Central,Paper,YES
1598,46,Consumer,Carrollton,Texas,Central,Supplies,YES
1599,46,Consumer,Carrollton,Texas,Central,Art,YES
1601,18,Corporate,Dover,Delaware,East,Furnishings,NO
1602,49,Consumer,Smyrna,Tennessee,South,Art,YES
1603,48,Consumer,Newark,Delaware,East,Art,NO
1604,16,Consumer,Los Angeles,California,West,Phones,YES
1605,16,Consumer,Los Angeles,California,West,Art,NO
1606,16,Consumer,Los Angeles,California,West,Art,NO
1607,16,Consumer,Los Angeles,California,West,Binders,YES
1608,16,Consumer,Los Angeles,California,West,Paper,NO
1609,16,Consumer,Los Angeles,California,West,Binders,YES
1610,22,Corporate,Los Angeles,California,West,Bookcases,YES
1611,22,Corporate,Los Angeles,California,West,Phones,YES
1612,22,Corporate,Los Angeles,California,West,Phones,YES
1613,51,Corporate,Oakland,California,West,Storage,NO
1614,11,Home Office,Philadelphia,Pennsylvania,East,Accessories,YES
1615,33,Home Office,Eagan,Minnesota,Central,Labels,NO
1616,33,Home Office,Eagan,Minnesota,Central,Labels,NO
1617,33,Home Office,Eagan,Minnesota,Central,Art,NO
1618,36,Home Office,New York City,New York,East,Storage,NO
1619,36,Home Office,New York City,New York,East,Paper,NO
1620,27,Consumer,Kent,Washington,West,Furnishings,NO
1621,27,Consumer,Kent,Washington,West,Labels,NO
1622,27,Consumer,Kent,Washington,West,Binders,YES
1623,27,Consumer,Kent,Washington,West,Accessories,NO
1624,51,Consumer,Los Angeles,California,West,Phones,YES
1625,51,Consumer,Los Angeles,California,West,Accessories,NO
1626,47,Home Office,New York City,New York,East,Appliances,NO
1627,39,Consumer,Lafayette,Louisiana,South,Chairs,NO
1628,25,Consumer,Cleveland,Ohio,East,Furnishings,YES
1630,18,Consumer,Cleveland,Ohio,East,Storage,YES
1631,18,Consumer,Cleveland,Ohio,East,Paper,YES
1632,18,Consumer,Cleveland,Ohio,East,Paper,YES
1633,18,Consumer,Cleveland,Ohio,East,Storage,YES
1634,18,Consumer,Cleveland,Ohio,East,Accessories,YES
1635,48,Consumer,Tigard,Oregon,West,Paper,YES
1636,48,Consumer,Tigard,Oregon,West,Storage,YES
1637,48,Consumer,Tigard,Oregon,West,Phones,YES
1638,21,Consumer,Washington,District of Columbia,East,Paper,NO
1639,21,Consumer,Washington,District of Columbia,East,Binders,NO
1640,21,Consumer,Washington,District of Columbia,East,Paper,NO
1641,21,Consumer,Washington,District of Columbia,East,Furnishings,NO
1642,48,Corporate,Skokie,Illinois,Central,Fasteners,YES
1643,12,Corporate,Seattle,Washington,West,Storage,NO
1644,12,Corporate,Seattle,Washington,West,Copiers,NO
1645,12,Corporate,Seattle,Washington,West,Paper,NO
1646,44,Home Office,Philadelphia,Pennsylvania,East,Accessories,YES
1647,44,Home Office,Philadelphia,Pennsylvania,East,Fasteners,YES
1649,39,Consumer,Philadelphia,Pennsylvania,East,Phones,YES
1650,35,Corporate,San Francisco,California,West,Paper,NO
1651,35,Corporate,San Francisco,California,West,Paper,NO
1652,46,Consumer,Seattle,Washington,West,Storage,NO
1653,46,Consumer,Seattle,Washington,West,Accessories,NO
1654,46,Consumer,Seattle,Washington,West,Fasteners,NO
1655,46,Consumer,Seattle,Washington,West,Binders,YES
1656,46,Consumer,Seattle,Washington,West,Storage,NO
1657,20,Consumer,Milwaukee,Wisconsin,Central,Furnishings,NO
1658,3,Consumer,Los Angeles,California,West,Phones,YES
1659,44,Consumer,Seattle,Washington,West,Binders,YES
1660,44,Consumer,Seattle,Washington,West,Binders,YES
1661,17,Corporate,Philadelphia,Pennsylvania,East,Phones,YES
1663,47,Consumer,Dallas,Texas,Central,Storage,YES
1664,47,Consumer,Dallas,Texas,Central,Accessories,YES
1665,47,Consumer,Dallas,Texas,Central,Fasteners,YES
1666,47,Consumer,Dallas,Texas,Central,Accessories,YES
1667,47,Consumer,Dallas,Texas,Central,Paper,YES
1668,47,Consumer,Dallas,Texas,Central,Art,YES
1669,2,Consumer,New York City,New York,East,Tables,YES
1670,42,Consumer,Houston,Texas,Central,Phones,YES
1671,12,Corporate,North Las Vegas,Nevada,West,Accessories,NO
1672,27,Consumer,Plano,Texas,Central,Phones,YES
1673,50,Consumer,Suffolk,Virginia,South,Labels,NO
1676,20,Consumer,San Francisco,California,West,Storage,NO
1677,20,Consumer,San Francisco,California,West,Paper,NO
1678,36,Corporate,Philadelphia,Pennsylvania,East,Storage,YES
1679,36,Corporate,Philadelphia,Pennsylvania,East,Phones,YES
1680,36,Corporate,Philadelphia,Pennsylvania,East,Furnishings,YES
1682,39,Consumer,Los Angeles,California,West,Paper,NO
1683,45,Corporate,San Francisco,California,West,Furnishings,NO
1684,17,Corporate,Philadelphia,Pennsylvania,East,Appliances,YES
1687,49,Consumer,Philadelphia,Pennsylvania,East,Paper,YES
1688,49,Consumer,Philadelphia,Pennsylvania,East,Furnishings,YES
1689,33,Consumer,Philadelphia,Pennsylvania,East,Tables,YES
1690,49,Consumer,Indianapolis,Indiana,Central,Paper,NO
1691,49,Consumer,Indianapolis,Indiana,Central,Binders,NO
1692,11,Consumer,Columbus,Ohio,East,Furnishings,YES
1693,25,Home Office,Plano,Texas,Central,Accessories,YES
1694,39,Home Office,Bayonne,New Jersey,East,Accessories,NO
1695,39,Home Office,Bayonne,New Jersey,East,Binders,NO
1696,39,Home Office,Bayonne,New Jersey,East,Phones,NO
1697,52,Consumer,Los Angeles,California,West,Appliances,NO
1698,52,Consumer,Los Angeles,California,West,Labels,NO
1699,23,Consumer,Seattle,Washington,West,Tables,NO
1700,29,Consumer,New York City,New York,East,Binders,YES
1701,29,Consumer,New York City,New York,East,Chairs,YES
1702,29,Consumer,New York City,New York,East,Paper,NO
1703,5,Home Office,San Diego,California,West,Fasteners,NO
1706,44,Consumer,San Francisco,California,West,Labels,NO
1707,44,Consumer,San Francisco,California,West,Phones,YES
